"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Bernardelli L.V.; Plassa W.; Paschoalino P.A.T.","Bernardelli, Luan Vinicius (57195606432); Plassa, Wander (57226300357); Paschoalino, Pietro Andre Telatin (57195609320)","57195606432; 57226300357; 57195609320","Who is saving and how much? New evidence from Brazil","2022","Management Research","20","3","","212","228","16","0","10.1108/MRJIAM-12-2021-1254","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125962759&doi=10.1108%2fMRJIAM-12-2021-1254&partnerID=40&md5=fa03b3994d4ee1fe93c405b147161709","Article","Final","","Scopus","2-s2.0-85125962759"
"Portugal M.A.","Portugal, Marco Antonio (58899605700)","58899605700","Challenges and political implications of sustainable maintenance in residential condominiums in Brazil: A life cycle perspective","2025","Journal of Environmental Management","380","","125107","","","","0","10.1016/j.jenvman.2025.125107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000506697&doi=10.1016%2fj.jenvman.2025.125107&partnerID=40&md5=7b8d15e331812cacc5f57921a5ed49c7","Article","Final","","Scopus","2-s2.0-105000506697"
"Barros M.V.; Salvador R.; Maciel A.M.; Ferreira M.B.; Paula V.R.D.; de Francisco A.C.; Rocha C.H.B.; Piekarski C.M.","Barros, Murillo Vetroni (57202866840); Salvador, Rodrigo (57189687832); Maciel, Alyne Martins (57211889788); Ferreira, Mariane Bigarelli (57213171683); Paula, Vanessa Romário de (57211883708); de Francisco, Antonio Carlos (55908874100); Rocha, Cézar Henrique Barra (56116991300); Piekarski, Cassiano Moro (55631313000)","57202866840; 57189687832; 57211889788; 57213171683; 57211883708; 55908874100; 56116991300; 55631313000","An analysis of Brazilian raw cow milk production systems and environmental product declarations of whole milk","2022","Journal of Cleaner Production","367","","133067","","","","16","10.1016/j.jclepro.2022.133067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134314820&doi=10.1016%2fj.jclepro.2022.133067&partnerID=40&md5=51d0456803a6388c3e79a1281aa2f236","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85134314820"
"Roy A.; Delord K.; Nunes G.T.; Barbraud C.; Bugoni L.; Lanco-Bertrand S.","Roy, Amédée (57218219999); Delord, Karine (6506656820); Nunes, Guilherme T. (55922886700); Barbraud, Christophe (35616520600); Bugoni, Leandro (8606809300); Lanco-Bertrand, Sophie (57223888217)","57218219999; 6506656820; 55922886700; 35616520600; 8606809300; 57223888217","Did the animal move? A cross-wavelet approach to geolocation data reveals year-round whereabouts of a resident seabird","2021","Marine Biology","168","7","114","","","","8","10.1007/s00227-021-03923-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109778052&doi=10.1007%2fs00227-021-03923-x&partnerID=40&md5=987087897651cb3e752fa96a52a63ed5","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85109778052"
"Colvero D.A.; Ramalho J.; Gomes A.P.D.; da Cruz Tarelho L.A.; de Matos M.A.A.","Colvero, Diogo Appel (57196148370); Ramalho, José (57211147508); Gomes, Ana Paula Duarte (57198596954); da Cruz Tarelho, Luís António (57562824800); de Matos, Manuel Arlindo Amador (57675273900)","57196148370; 57211147508; 57198596954; 57562824800; 57675273900","LIFE CYCLE ASSESSMENT OF SHARED MUNICIPAL SOLID WASTE MANAGEMENT FACILITIES IN A METROPOLITAN REGION","2022","Journal of Solid Waste Technology and Management","48","3","","329","352","23","2","10.5276/JSWTM/2022.329","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147735427&doi=10.5276%2fJSWTM%2f2022.329&partnerID=40&md5=9647b3b619f1eca76d9ac7542e85dbcb","Article","Final","","Scopus","2-s2.0-85147735427"
"Barbieri A.F.; Guedes G.R.; Onofre dos Santos R.","Barbieri, Alisson Flávio (11940724400); Guedes, Gilvan Ramalho (34771495900); Onofre dos Santos, Reinaldo (57195637901)","11940724400; 34771495900; 57195637901","Land use systems and livelihoods in demographically heterogeneous frontier stages in the amazon","2021","Environmental Development","38","","100587","","","","10","10.1016/j.envdev.2020.100587","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096578551&doi=10.1016%2fj.envdev.2020.100587&partnerID=40&md5=a2b0191f7a15a0ecac7cce6998e4fb2e","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85096578551"
"Pereira M.T.R.M.; Carvalho M.; Mady C.E.K.","Pereira, Marina Torelli Reis Martins (57217678160); Carvalho, Monica (26655308900); Mady, Carlos Eduardo Keutenedjian (57202939950)","57217678160; 26655308900; 57202939950","Adressing Energy Demand and Climate Change through the Second Law of Thermodynamics and LCA towards a Rational Use of Energy in Brazilian Households","2022","Entropy","24","11","1524","","","","7","10.3390/e24111524","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141769457&doi=10.3390%2fe24111524&partnerID=40&md5=7aa8e8a18c9750588105c3ab19a8f55c","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85141769457"
"Soares N.M.; Barreto N.M.P.V.; Farias M.M.B.; de Lima Oliveira C.; Araújo W.A.C.; de Souza J.N.; Teixeira M.C.A.; Gonçalves N.L.S.; Sampaio D.D.; Pavan T.B.S.; Celedon P.A.F.; Zanchin N.I.T.; Santos F.L.N.","Soares, Neci Matos (6603685296); Barreto, Nilo Manoel Pereira Vieira (57203403151); Farias, Marina Morena Brito (57462972300); de Lima Oliveira, Cíntia (57462810200); Araújo, Weslei Almeida Costa (57203401635); de Souza, Joelma Nascimento (56299985000); Teixeira, Márcia Cristina Aquino (15766449900); Gonçalves, Noilson Lázaro Sousa (57204802267); Sampaio, Daniel Dias (57909520100); Pavan, Tycha Bianca Sabaini (55017479800); Celedon, Paola Alejandra Fiorani (17134073400); Zanchin, Nilson Ivo Tonin (6603011567); Santos, Fred Luciano Neves (36708625900)","6603685296; 57203403151; 57462972300; 57462810200; 57203401635; 56299985000; 15766449900; 57204802267; 57909520100; 55017479800; 17134073400; 6603011567; 36708625900","Seroepidemiological Survey of Chronic Chagas Disease in a Rural Community in Southern Bahia, Brazil, Using Recombinant Chimeric Antigens","2023","Pathogens","12","10","1222","","","","2","10.3390/pathogens12101222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175043858&doi=10.3390%2fpathogens12101222&partnerID=40&md5=2610cf8bf03c17d339a4002a04a063f0","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85175043858"
"Francischetti I.; Holzhausen Y.; Peters H.","Francischetti, Ieda (8618769800); Holzhausen, Ylva (56127053400); Peters, Harm (7202544569)","8618769800; 56127053400; 7202544569","Entrustable professional activities for Junior Brazilian Medical Students in community medicine","2022","BMC Medical Education","22","1","737","","","","5","10.1186/s12909-022-03762-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140593063&doi=10.1186%2fs12909-022-03762-4&partnerID=40&md5=5452f1927ed25ad0f1bd2c9917e024db","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85140593063"
"Salvi Malacarne C.; Domingos Biehl A.K.; Maurente G. Silva D.; Lopes dos Santos I.; de Godoy L.G.; Borges Masuero A.; Garcez M.R.","Salvi Malacarne, Camila (57216500679); Domingos Biehl, Anne Ketlelyn (57388824900); Maurente G. Silva, Deividi (57388588000); Lopes dos Santos, Iago (57388665300); de Godoy, Luis Gabriel (57388665400); Borges Masuero, Angela (12783310400); Garcez, Mônica Regina (16063403900)","57216500679; 57388824900; 57388588000; 57388665300; 57388665400; 12783310400; 16063403900","Sustainability Potential of Intervention Strategies for Mortar Coating Repair: A Case Study in a Centenary Building","2022","Lecture Notes in Civil Engineering","209 LNCE","","","1093","1110","17","1","10.1007/978-3-030-90788-4_84","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121905006&doi=10.1007%2f978-3-030-90788-4_84&partnerID=40&md5=199582bf250012a358278c7735cd5612","Conference paper","Final","","Scopus","2-s2.0-85121905006"
